strain	date	abbr_authors	lineage	genbank_accession	author	accession	host	country	division
LM774-SLE-2012	2012-10-18 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM822120	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822120	Mastomys natalensis	Sierra Leone	
G2184-SLE-2011	2011-01-01 (2011-01-01 - 2011-11-16)	Andersen et al.	LIV_V	KM821828	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821828	Homo sapiens	Sierra Leone	
LM771-SLE-2012	2012-12-31 (2012-04-28 - 2012-12-31)	Andersen et al.	LIV_V	KM822118	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822118	Mastomys natalensis	Sierra Leone	
LM776-SLE-2012	2012-01-01 (2012-01-01 - 2012-10-26)	Andersen et al.	LIV_V	KM822122	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822122	Mastomys natalensis	Sierra Leone	
LF2384-NS-DIA-1	2012-07-22 (2012-01-01 - 2012-12-31)	Maruyama et al.	LIV_V	MN275173	Maruyama,J.,Manning,J.T.,Mateer,E.J.,Sattler,R.A.,Bukreyeva,N.,Huang,C.,Paessler,S.	MN275173	Homo sapiens	Sierra Leone	
LF2384	2012-02-05 (2012-01-01 - 2012-12-31)	Taniguchi et al.	LIV_V	PP826288	Taniguchi,S.,Saito,T.,Paroha,R.,Manning,J.T.,Huang,C.,Paessler,S.,Maruyama,J.	PP826288	Homo sapiens	Sierra Leone	
G2384-SLE-2012	2012-02-05 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821848	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821848	Homo sapiens	Sierra Leone	
Josiah	1976-03-11	Bjornson-Hooper et al.	LIV_V	JN650517	Bjornson-Hooper,Z.B.,Gire,S.,Honko,A.,Sabeti,P.C.,Hensley,L.E.	JN650517	Homo sapiens	Sierra Leone	Songo Hospital
Josiah_3hzhxe	1976-01-28 (1975-01-09 - 1977-04-05)	Auperin et al.	LIV_V	NC_004296	Auperin,D.D.,McCormick,J.B.	NC_004296			
G808-SLE-2010	2010-12-31 (2010-02-12 - 2010-12-31)	Andersen et al.	LIV_V	KM821792	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821792	Homo sapiens	Sierra Leone	
G-27961-1-2	2023-04-18	Sandi et al.	LIV_V	OR113005	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OR113005	Homo sapiens	Sierra Leone	Kgh
G2868-SLE-2012	2012-12-31 (2012-02-08 - 2012-12-31)	Andersen et al.	LIV_V	KM821874	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821874	Homo sapiens	Sierra Leone	
G-8439-1-2	2020-01-14	Sandi et al.	LIV_V	OQ919518	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919518		Sierra Leone	Kgh
G3206-SLE-2013	2013-01-01 (2013-01-01 - 2013-11-24)	Andersen et al.	LIV_V	KM821899	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821899	Homo sapiens	Sierra Leone	
G2903-SLE-2012	2012-12-31 (2012-02-16 - 2012-12-31)	Andersen et al.	LIV_V	KM821876	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821876	Homo sapiens	Sierra Leone	
G2315-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-14)	Andersen et al.	LIV_V	KM821843	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821843	Homo sapiens	Sierra Leone	
G636-SLE-2009	2009-12-31 (2009-02-14 - 2009-12-31)	Andersen et al.	LIV_V	KM821779	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821779	Homo sapiens	Sierra Leone	
LM395-SLE-2009	2009-01-01 (2009-01-01 - 2009-11-19)	Andersen et al.	LIV_V	KM822115	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822115	Mastomys natalensis	Sierra Leone	
G1774-SLE-2011	2011-12-31 (2011-02-14 - 2011-12-31)	Andersen et al.	LIV_V	KM821812	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821812	Homo sapiens	Sierra Leone	
G2222-SLE-2011	2011-12-31 (2011-03-03 - 2011-12-31)	Andersen et al.	LIV_V	KM821832	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821832	Homo sapiens	Sierra Leone	
G806-SLE-2010	2010-01-01 (2010-01-01 - 2010-10-30)	Andersen et al.	LIV_V	KM821790	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821790	Homo sapiens	Sierra Leone	
G692-SLE-2009	2009-01-01 (2009-01-01 - 2009-11-24)	Andersen et al.	LIV_V	KM821783	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821783	Homo sapiens	Sierra Leone	
LM779-SLE-2012	2012-05-29 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM822126	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822126	Mastomys natalensis	Sierra Leone	
G1897-SLE-2011	2011-07-21 (2011-01-01 - 2011-12-31)	Andersen et al.	LIV_V	KM821815	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821815	Homo sapiens	Sierra Leone	
G676-SLE-2009	2009-12-31 (2009-02-15 - 2009-12-31)	Andersen et al.	LIV_V	KM821781	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821781	Homo sapiens	Sierra Leone	
G3076-SLE-2013	2013-03-09 (2013-01-01 - 2013-12-31)	Andersen et al.	LIV_V	KM821886	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821886	Homo sapiens	Sierra Leone	
G2405-SLE-2012	2012-11-15 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821852	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821852	Homo sapiens	Sierra Leone	
G-27807-1-2	2022-09-12	Sandi et al.	LIV_V	OR041682	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041682	Homo sapiens	Sierra Leone	Kgh
G-27818-1-2	2022-10-06	Sandi et al.	LIV_V	OR041679	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041679	Homo sapiens	Sierra Leone	Kgh
G-26293-2-2	2021-07-31	Sandi et al.	LIV_V	OR041683	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041683	Homo sapiens	Sierra Leone	Kgh
G-26293-1-2	2021-07-29	Sandi et al.	LIV_V	OQ919510	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919510		Sierra Leone	Kgh
LM765-SLE-2012	2012-12-31 (2012-02-20 - 2012-12-31)	Andersen et al.	LIV_V	KM822117	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822117	Mastomys natalensis	Sierra Leone	
G-23362-2-2	2021-02-08	Sandi et al.	LIV_V	OR041687	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041687	Homo sapiens	Sierra Leone	Kgh
G-27785-1-2	2022-08-11	Sandi et al.	LIV_V	OR041686	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041686	Homo sapiens	Sierra Leone	Kgh
G1190-SLE-2010	2010-01-01 (2010-01-01 - 2010-11-16)	Andersen et al.	LIV_V	KM821796	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821796	Homo sapiens	Sierra Leone	
G3101-SLE-2013	2013-01-01 (2013-01-01 - 2013-11-12)	Andersen et al.	LIV_V	KM821887	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821887	Homo sapiens	Sierra Leone	
G2944-SLE-2012	2012-12-31 (2012-03-11 - 2012-12-31)	Andersen et al.	LIV_V	KM821880	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821880	Homo sapiens	Sierra Leone	
G1727-SLE-2011	2011-06-20 (2011-01-01 - 2011-12-31)	Andersen et al.	LIV_V	KM821810	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821810	Homo sapiens	Sierra Leone	
Z0948-SLE-2011	2011-11-26 (2011-01-01 - 2011-12-31)	Andersen et al.	LIV_V	KM822132	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822132	Mastomys natalensis	Sierra Leone	
Z0947-SLE-2011	2011-01-01 (2011-01-01 - 2011-10-01)	Andersen et al.	LIV_V	KM822130	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM822130	Mastomys natalensis	Sierra Leone	
G-7823-2-2	2018-01-30	Sandi et al.	LIV_V	OQ919516	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919516		Sierra Leone	Kgh
G-7821-5-2	2018-01-28	Sandi et al.	LIV_V	OQ919512	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919512		Sierra Leone	Kgh
G3157-SLE-2013	2013-01-01 (2013-01-01 - 2013-10-31)	Andersen et al.	LIV_V	KM821895	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821895	Homo sapiens	Sierra Leone	
G3148-SLE-2013	2013-05-28 (2013-01-01 - 2013-12-31)	Andersen et al.	LIV_V	KM821892	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821892	Homo sapiens	Sierra Leone	
G3283-SLE-2013	2013-07-27 (2013-01-01 - 2013-12-31)	Andersen et al.	LIV_V	KM821910	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821910	Homo sapiens	Sierra Leone	
G-27645-1-2	2022-05-17	Sandi et al.	LIV_V	OR041684	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Francis,B.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Tomkins-Tinch,C.,Siddle,K.J.,Schefflien,J.S.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.	OR041684	Homo sapiens	Sierra Leone	Kgh
G-27653-1-2	2022-05-28	Sandi et al.	LIV_V	OQ919517	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919517		Sierra Leone	Kgh
G-8410-1-2	2019-12-26	Sandi et al.	LIV_V	OQ919515	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OQ919515		Sierra Leone	Kgh
G2612-SLE-2012	2012-05-30 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821867	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821867	Homo sapiens	Sierra Leone	
G2280-SLE-2012	2012-11-08 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821839	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821839	Homo sapiens	Sierra Leone	
G3106-SLE-2013	2013-09-09 (2013-01-01 - 2013-12-31)	Andersen et al.	LIV_V	KM821889	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821889	Homo sapiens	Sierra Leone	
G3016-SLE-2013	2013-09-09 (2013-01-01 - 2013-12-31)	Andersen et al.	LIV_V	KM821884	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821884	Homo sapiens	Sierra Leone	
G2511-SLE-2012	2012-01-01 (2012-01-01 - 2012-11-20)	Andersen et al.	LIV_V	KM821857	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821857	Homo sapiens	Sierra Leone	
G2587-SLE-2012	2012-12-04 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821865	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821865	Homo sapiens	Sierra Leone	
G2295-SLE-2012	2012-05-12 (2012-01-01 - 2012-12-31)	Andersen et al.	LIV_V	KM821841	Andersen,K.G.,Shapiro,B.J.,Matranga,C.B.,Gire,S.K.,Sealfon,R.,England,E.M.,Winnicki,S.,Moses,L.M.,Stremlau,M.,Folarin,O.,Odia,I.,Ehiane,P.,Goba,A.,Momoh,M.,Gnirke,A.,Birren,B.,Hensley,L.,Levin,J.Z.,Happi,C.T.,Garry,R.F.,Sabeti,P.C.	KM821841	Homo sapiens	Sierra Leone	
G-27952-1-2	2023-04-11	Sandi et al.	LIV_V	OR113004	Sandi,J.D.,Momoh,M.,Jalloh,A.M.S.,Kamara,M.S.,Kallon,T.M.P.S.,Baimba,F.,Samuels,R.J.,Wohl,S.,Alhasan,F.,Kanneh,L.,Park,D.,Siddle,K.J.,Schieffelin,J.,Sabeti,P.,Garry,R.F.,Andersen,K.G.,Happi,C.,Grant,D.S.,Schefflien,J.S.	OR113004	Homo sapiens	Sierra Leone	Kgh
