accession	clade_membership	reference
MH887806	LII	annotated from Nextstrain
MH887762	LII	annotated from Nextstrain
MK117965	LII	annotated from Nextstrain
MH887868	LII	annotated from Nextstrain
KM821963	LII	annotated from Nextstrain
KM822010	LII	annotated from Nextstrain
KM822062	LII	annotated from Nextstrain
MH887793	LII	annotated from Nextstrain
MH887788	LII	annotated from Nextstrain
MH887883	LII	annotated from Nextstrain
MK117948	LII	annotated from Nextstrain
MK107963	LII	annotated from Nextstrain
MK107956	LII	annotated from Nextstrain
MH053561	LII	annotated from Nextstrain
MK117978	LII	annotated from Nextstrain
MK118037	LII	annotated from Nextstrain
MH157045	LII	annotated from Nextstrain
MH887835	LII	annotated from Nextstrain
MH887795	LII	annotated from Nextstrain
MH887826	LII	annotated from Nextstrain
MH053555	LII	annotated from Nextstrain
MH887873	LII	annotated from Nextstrain
MH157032	LII	annotated from Nextstrain
MK117861	LII	annotated from Nextstrain
MK118002	LII	annotated from Nextstrain
MK107964	LII	annotated from Nextstrain
MH887807	LII	annotated from Nextstrain
MK117860	LII	annotated from Nextstrain
MK118001	LII	annotated from Nextstrain
MH887778	LII	annotated from Nextstrain
KM822072	LII	annotated from Nextstrain
KM822066	LII	annotated from Nextstrain
KM822109	LII	annotated from Nextstrain
KM822078	LII	annotated from Nextstrain
KM822101	LII	annotated from Nextstrain
MK117964	LII	annotated from Nextstrain
MH887875	LII	annotated from Nextstrain
MH053557	LII	annotated from Nextstrain
MH887876	LII	annotated from Nextstrain
MH887824	LII	annotated from Nextstrain
MH887782	LII	annotated from Nextstrain
MH053506	LII	annotated from Nextstrain
MH887870	LII	annotated from Nextstrain
MH053498	LII	annotated from Nextstrain
KM821990	LII	annotated from Nextstrain
MK118006	LII	annotated from Nextstrain
MH887852	LII	annotated from Nextstrain
MK118026	LII	annotated from Nextstrain
MH157052	LII	annotated from Nextstrain
MK117955	LII	annotated from Nextstrain
MH887833	LII	annotated from Nextstrain
KM822105	LII	annotated from Nextstrain
KM822067	LII	annotated from Nextstrain
KM822037	LII	annotated from Nextstrain
KM821994	LII	annotated from Nextstrain
KM821935	LII	annotated from Nextstrain
MH887850	LII	annotated from Nextstrain
MH053531	LII	annotated from Nextstrain
MH887884	LII	annotated from Nextstrain
MK117969	LII	annotated from Nextstrain
MH887819	LII	annotated from Nextstrain
MH887874	LII	annotated from Nextstrain
MH053497	LII	annotated from Nextstrain
MH887853	LII	annotated from Nextstrain
MH887756	LII	annotated from Nextstrain
MH053573	LII	annotated from Nextstrain
KM821920	LII	annotated from Nextstrain
KM822059	LII	annotated from Nextstrain
KM822097	LII	annotated from Nextstrain
KM822029	LII	annotated from Nextstrain
KM822084	LII	annotated from Nextstrain
KM821912	LII	annotated from Nextstrain
KM821984	LII	annotated from Nextstrain
MK118024	LII	annotated from Nextstrain
MH887894	LII	annotated from Nextstrain
MH887838	LII	annotated from Nextstrain
KM822076	LII	annotated from Nextstrain
MK118028	LII	annotated from Nextstrain
MH887861	LII	annotated from Nextstrain
KM821971	LII	annotated from Nextstrain
KM821925	LII	annotated from Nextstrain
MK118029	LII	annotated from Nextstrain
OR147793	LII	annotated from Nextstrain
KM822089	LII	annotated from Nextstrain
GU481076	LII	annotated from Nextstrain
